Point_ID,Annotation,Region,X,Y,Z
2941,0,3,38773,33368,0
2942,0,3,38772,33367,0
2943,0,3,38772,33365,0
2944,0,3,38770,33363,0
2945,0,3,38768,33363,0
2946,0,3,38768,33362,0
2947,0,3,38765,33362,0
2948,0,3,38762,33362,0
2949,0,3,38758,33360,0
2950,0,3,38755,33360,0
2951,0,3,38753,33360,0
2952,0,3,38752,33360,0
2953,0,3,38748,33360,0
2954,0,3,38745,33360,0
2955,0,3,38742,33360,0
2956,0,3,38738,33360,0
2957,0,3,38735,33360,0
2958,0,3,38732,33360,0
2959,0,3,38728,33360,0
2960,0,3,38725,33360,0
2961,0,3,38723,33362,0
2962,0,3,38722,33362,0
2963,0,3,38720,33362,0
2964,0,3,38718,33362,0
2965,0,3,38717,33363,0
2966,0,3,38713,33363,0
2967,0,3,38712,33363,0
2968,0,3,38707,33365,0
2969,0,3,38705,33367,0
2970,0,3,38702,33367,0
2971,0,3,38697,33367,0
2972,0,3,38695,33368,0
2973,0,3,38693,33368,0
2974,0,3,38692,33368,0
2975,0,3,38690,33370,0
2976,0,3,38688,33370,0
2977,0,3,38685,33370,0
2978,0,3,38682,33370,0
2979,0,3,38680,33370,0
2980,0,3,38678,33370,0
2981,0,3,38673,33370,0
2982,0,3,38670,33370,0
2983,0,3,38663,33370,0
2984,0,3,38660,33370,0
2985,0,3,38657,33370,0
2986,0,3,38655,33370,0
2987,0,3,38652,33370,0
2988,0,3,38650,33372,0
2989,0,3,38645,33372,0
2990,0,3,38640,33372,0
2991,0,3,38633,33372,0
2992,0,3,38632,33372,0
2993,0,3,38620,33372,0
2994,0,3,38618,33373,0
2995,0,3,38613,33373,0
2996,0,3,38610,33373,0
2997,0,3,38607,33373,0
2998,0,3,38603,33373,0
2999,0,3,38600,33375,0
3000,0,3,38597,33375,0
3001,0,3,38593,33375,0
3002,0,3,38592,33375,0
3003,0,3,38590,33375,0
3004,0,3,38585,33377,0
3005,0,3,38583,33377,0
3006,0,3,38577,33378,0
3007,0,3,38573,33380,0
3008,0,3,38570,33380,0
3009,0,3,38568,33380,0
3010,0,3,38568,33382,0
3011,0,3,38567,33382,0
3012,0,3,38563,33382,0
3013,0,3,38558,33383,0
3014,0,3,38555,33383,0
3015,0,3,38553,33383,0
3016,0,3,38550,33383,0
3017,0,3,38548,33383,0
3018,0,3,38543,33385,0
3019,0,3,38542,33385,0
3020,0,3,38540,33385,0
3021,0,3,38537,33385,0
3022,0,3,38533,33385,0
3023,0,3,38530,33385,0
3024,0,3,38528,33385,0
3025,0,3,38525,33385,0
3026,0,3,38522,33385,0
3027,0,3,38518,33385,0
3028,0,3,38515,33385,0
3029,0,3,38512,33385,0
3030,0,3,38510,33385,0
3031,0,3,38505,33385,0
3032,0,3,38502,33385,0
3033,0,3,38498,33385,0
3034,0,3,38493,33387,0
3035,0,3,38488,33387,0
3036,0,3,38485,33387,0
3037,0,3,38482,33388,0
3038,0,3,38478,33388,0
3039,0,3,38477,33390,0
3040,0,3,38475,33390,0
3041,0,3,38473,33390,0
3042,0,3,38470,33390,0
3043,0,3,38468,33390,0
3044,0,3,38465,33392,0
3045,0,3,38462,33392,0
3046,0,3,38460,33392,0
3047,0,3,38457,33392,0
3048,0,3,38453,33392,0
3049,0,3,38450,33393,0
3050,0,3,38448,33393,0
3051,0,3,38447,33393,0
3052,0,3,38442,33393,0
3053,0,3,38440,33393,0
3054,0,3,38435,33393,0
3055,0,3,38432,33393,0
3056,0,3,38427,33393,0
3057,0,3,38425,33395,0
3058,0,3,38423,33395,0
3059,0,3,38422,33395,0
3060,0,3,38420,33395,0
3061,0,3,38417,33395,0
3062,0,3,38413,33397,0
3063,0,3,38410,33397,0
3064,0,3,38407,33397,0
3065,0,3,38405,33398,0
3066,0,3,38400,33398,0
3067,0,3,38397,33398,0
3068,0,3,38393,33398,0
3069,0,3,38392,33398,0
3070,0,3,38390,33398,0
3071,0,3,38388,33398,0
3072,0,3,38387,33398,0
3073,0,3,38385,33400,0
3074,0,3,38382,33400,0
3075,0,3,38378,33400,0
3076,0,3,38375,33400,0
3077,0,3,38373,33400,0
3078,0,3,38372,33400,0
3079,0,3,38370,33400,0
3080,0,3,38368,33402,0
3081,0,3,38367,33402,0
3082,0,3,38365,33402,0
3083,0,3,38362,33402,0
3084,0,3,38358,33402,0
3085,0,3,38355,33402,0
3086,0,3,38350,33402,0
3087,0,3,38347,33402,0
3088,0,3,38343,33402,0
3089,0,3,38342,33402,0
3090,0,3,38340,33402,0
3091,0,3,38338,33402,0
3092,0,3,38337,33402,0
3093,0,3,38332,33400,0
3094,0,3,38327,33400,0
3095,0,3,38325,33400,0
3096,0,3,38320,33402,0
3097,0,3,38317,33402,0
3098,0,3,38315,33402,0
3099,0,3,38313,33403,0
3100,0,3,38312,33403,0
3101,0,3,38308,33405,0
3102,0,3,38305,33405,0
3103,0,3,38302,33405,0
3104,0,3,38298,33405,0
3105,0,3,38293,33407,0
3106,0,3,38290,33407,0
3107,0,3,38287,33408,0
3108,0,3,38285,33408,0
3109,0,3,38280,33408,0
3110,0,3,38277,33410,0
3111,0,3,38273,33410,0
3112,0,3,38272,33410,0
3113,0,3,38268,33410,0
3114,0,3,38265,33410,0
3115,0,3,38262,33410,0
3116,0,3,38260,33410,0
3117,0,3,38257,33410,0
3118,0,3,38257,33412,0
3119,0,3,38253,33412,0
3120,0,3,38248,33412,0
3121,0,3,38245,33412,0
3122,0,3,38242,33412,0
3123,0,3,38238,33413,0
3124,0,3,38235,33413,0
3125,0,3,38232,33413,0
3126,0,3,38230,33413,0
3127,0,3,38228,33413,0
3128,0,3,38225,33413,0
3129,0,3,38220,33415,0
3130,0,3,38217,33415,0
3131,0,3,38215,33415,0
3132,0,3,38210,33417,0
3133,0,3,38205,33417,0
3134,0,3,38202,33418,0
3135,0,3,38198,33418,0
3136,0,3,38195,33418,0
3137,0,3,38192,33418,0
3138,0,3,38188,33418,0
3139,0,3,38185,33420,0
3140,0,3,38180,33422,0
3141,0,3,38173,33422,0
3142,0,3,38167,33423,0
3143,0,3,38163,33425,0
3144,0,3,38162,33425,0
3145,0,3,38158,33425,0
3146,0,3,38153,33425,0
3147,0,3,38148,33427,0
3148,0,3,38145,33427,0
3149,0,3,38142,33428,0
3150,0,3,38137,33428,0
3151,0,3,38133,33428,0
3152,0,3,38132,33428,0
3153,0,3,38128,33430,0
3154,0,3,38123,33430,0
3155,0,3,38118,33430,0
3156,0,3,38117,33432,0
3157,0,3,38113,33432,0
3158,0,3,38110,33432,0
3159,0,3,38105,33432,0
3160,0,3,38103,33433,0
3161,0,3,38100,33433,0
3162,0,3,38097,33433,0
3163,0,3,38095,33433,0
3164,0,3,38090,33433,0
3165,0,3,38085,33435,0
3166,0,3,38080,33435,0
3167,0,3,38077,33435,0
3168,0,3,38073,33437,0
3169,0,3,38068,33437,0
3170,0,3,38065,33438,0
3171,0,3,38063,33438,0
3172,0,3,38062,33438,0
3173,0,3,38060,33438,0
3174,0,3,38057,33438,0
3175,0,3,38053,33438,0
3176,0,3,38048,33440,0
3177,0,3,38043,33442,0
3178,0,3,38038,33443,0
3179,0,3,38035,33445,0
3180,0,3,38032,33445,0
3181,0,3,38030,33445,0
3182,0,3,38023,33448,0
3183,0,3,38022,33447,0
3184,0,3,38020,33447,0
3185,0,3,38015,33448,0
3186,0,3,38013,33448,0
3187,0,3,38010,33450,0
3188,0,3,38007,33450,0
3189,0,3,38000,33450,0
3190,0,3,37995,33452,0
3191,0,3,37990,33452,0
3192,0,3,37988,33452,0
3193,0,3,37985,33452,0
3194,0,3,37982,33452,0
3195,0,3,37980,33453,0
3196,0,3,37977,33453,0
3197,0,3,37975,33453,0
3198,0,3,37972,33453,0
3199,0,3,37970,33453,0
3200,0,3,37965,33455,0
3201,0,3,37962,33455,0
3202,0,3,37958,33457,0
3203,0,3,37955,33457,0
3204,0,3,37950,33457,0
3205,0,3,37947,33457,0
3206,0,3,37942,33457,0
3207,0,3,37937,33457,0
3208,0,3,37932,33458,0
3209,0,3,37928,33458,0
3210,0,3,37927,33460,0
3211,0,3,37925,33460,0
3212,0,3,37920,33462,0
3213,0,3,37918,33462,0
3214,0,3,37917,33462,0
3215,0,3,37913,33462,0
3216,0,3,37910,33462,0
3217,0,3,37907,33462,0
3218,0,3,37903,33463,0
3219,0,3,37900,33463,0
3220,0,3,37898,33463,0
3221,0,3,37895,33465,0
3222,0,3,37892,33465,0
3223,0,3,37888,33465,0
3224,0,3,37885,33465,0
3225,0,3,37883,33465,0
3226,0,3,37882,33465,0
3227,0,3,37878,33465,0
3228,0,3,37873,33465,0
3229,0,3,37868,33465,0
3230,0,3,37863,33465,0
3231,0,3,37863,33467,0
3232,0,3,37860,33467,0
3233,0,3,37857,33467,0
3234,0,3,37855,33467,0
3235,0,3,37852,33468,0
3236,0,3,37848,33468,0
3237,0,3,37847,33468,0
3238,0,3,37843,33468,0
3239,0,3,37840,33470,0
3240,0,3,37837,33470,0
3241,0,3,37835,33470,0
3242,0,3,37832,33470,0
3243,0,3,37828,33470,0
3244,0,3,37825,33470,0
3245,0,3,37820,33472,0
3246,0,3,37815,33472,0
3247,0,3,37812,33472,0
3248,0,3,37808,33473,0
3249,0,3,37807,33473,0
3250,0,3,37805,33475,0
3251,0,3,37803,33475,0
3252,0,3,37802,33475,0
3253,0,3,37798,33475,0
3254,0,3,37797,33475,0
3255,0,3,37793,33475,0
3256,0,3,37790,33475,0
3257,0,3,37788,33477,0
3258,0,3,37785,33477,0
3259,0,3,37782,33477,0
3260,0,3,37778,33478,0
3261,0,3,37777,33478,0
3262,0,3,37773,33478,0
3263,0,3,37772,33480,0
3264,0,3,37768,33480,0
3265,0,3,37763,33480,0
3266,0,3,37762,33480,0
3267,0,3,37758,33480,0
3268,0,3,37755,33480,0
3269,0,3,37752,33480,0
3270,0,3,37748,33480,0
3271,0,3,37745,33480,0
3272,0,3,37742,33480,0
3273,0,3,37738,33480,0
3274,0,3,37735,33480,0
3275,0,3,37733,33480,0
3276,0,3,37730,33480,0
3277,0,3,37727,33480,0
3278,0,3,37722,33480,0
3279,0,3,37720,33480,0
3280,0,3,37717,33480,0
3281,0,3,37713,33480,0
3282,0,3,37710,33480,0
3283,0,3,37705,33480,0
3284,0,3,37703,33480,0
3285,0,3,37702,33480,0
3286,0,3,37697,33480,0
3287,0,3,37695,33480,0
3288,0,3,37693,33480,0
3289,0,3,37690,33480,0
3290,0,3,37685,33480,0
3291,0,3,37682,33480,0
3292,0,3,37680,33480,0
3293,0,3,37677,33480,0
3294,0,3,37672,33478,0
3295,0,3,37667,33478,0
3296,0,3,37662,33478,0
3297,0,3,37658,33478,0
3298,0,3,37653,33478,0
3299,0,3,37650,33478,0
3300,0,3,37645,33478,0
3301,0,3,37643,33478,0
3302,0,3,37638,33478,0
3303,0,3,37635,33478,0
3304,0,3,37632,33478,0
3305,0,3,37628,33478,0
3306,0,3,37627,33478,0
3307,0,3,37623,33478,0
3308,0,3,37622,33478,0
3309,0,3,37620,33478,0
3310,0,3,37618,33478,0
3311,0,3,37615,33478,0
3312,0,3,37612,33478,0
3313,0,3,37610,33478,0
3314,0,3,37608,33478,0
3315,0,3,37607,33478,0
3316,0,3,37605,33478,0
3317,0,3,37603,33478,0
3318,0,3,37602,33477,0
3319,0,3,37600,33477,0
3320,0,3,37597,33477,0
